"numcode","ethgrpname","ccode","country","year","gpop","grpropctry","grplang","grpcustom","grpspatialdist","urbanrural","regbase","regbaseprop","trsntlkin","trnspwrkin","sepkin","emig","displace","poldisc","ecdisc","langdisc","adminauto","legisrep","execrep","govrep","polgrieve","econgrieve","culgrieve","kinsup","kinmatsup","kinpolsup","kinmilsup","intracon","protest","region","pct_ctry","miss"
204,"Native Hawaiians",2,"United States of America",2005,413817,0.0014,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,1,6,0.140000000596046,0
204,"Native Hawaiians",2,"United States of America",2006,417819,0.0014,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,1,6,0.140000000596046,0
2001,"Quebecois",20,"Canada",2004,6407672,0.1994,1,0,3,5,1,3,0,3,0,0,0,0,0,0,0,1,1,1,4,0,2,0,0,0,0,0,3,6,19.9400005340576,0
2001,"Quebecois",20,"Canada",2005,6396310,0.1975,1,0,3,5,1,3,0,3,0,0,0,0,0,0,0,1,1,1,4,0,2,0,0,0,0,0,3,6,19.75,0
2001,"Quebecois",20,"Canada",2006,6384381,0.1955,1,0,3,5,1,3,0,3,0,0,0,0,0,0,0,1,1,1,4,0,2,0,0,0,0,0,3,6,19.5499992370605,0
2002,"French Canadians",20,"Canada",2004,1413930,0.044,1,0,2,4,0,0,0,3,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,4.40000009536743,0
2002,"French Canadians",20,"Canada",2005,1425001,0.044,1,0,2,4,0,0,0,3,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,4.40000009536743,0
2002,"French Canadians",20,"Canada",2006,1436894,0.044,1,0,2,4,0,0,0,3,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,4.40000009536743,0
2003,"Indigenous Peoples",20,"Canada",2004,867639,0.027,1,1,0,3,0,0,1,1,1,0,0,1,1,0,1,1,0,0,3,2,2,0,0,0,0,0,3,6,2.70000004768372,0
2003,"Indigenous Peoples",20,"Canada",2005,874432,0.027,1,1,0,3,0,0,1,1,1,0,0,1,1,0,1,1,0,0,3,2,2,0,0,0,0,0,3,6,2.70000004768372,0
2003,"Indigenous Peoples",20,"Canada",2006,881730,0.027,1,1,0,3,0,0,1,1,1,0,0,1,1,0,1,1,0,0,3,2,2,0,0,0,0,0,3,6,2.70000004768372,0
4201,"Haitian Blacks",42,"Dominican Republic",2004,716098,0.08,2,1,0,2,0,0,1,3,0,2,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,0
4201,"Haitian Blacks",42,"Dominican Republic",2005,727048,0.08,2,1,0,2,0,0,1,3,0,2,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,0
4201,"Haitian Blacks",42,"Dominican Republic",2006,738093,0.08,2,1,0,2,0,0,1,3,0,2,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,0
7002,"Mayans",70,"Mexico",2004,3022836,0.0288,1,1,3,2,1,1,1,1,0,0,0,3,3,0,0,0,0,0,3,2,1,0,0,0,0,0,3,2,2.88000011444092,0
7002,"Mayans",70,"Mexico",2005,3058644,0.0288,1,1,3,2,1,1,1,1,0,0,0,3,3,0,0,0,0,0,3,2,1,0,0,0,0,0,2,2,2.88000011444092,0
7002,"Mayans",70,"Mexico",2006,3094546,0.0288,1,1,3,2,1,1,1,1,0,0,1,3,3,0,0,0,0,0,3,2,1,0,0,0,0,1,3,2,2.88000011444092,0
7003,"Zapotecs",70,"Mexico",2004,808189,0.0077,1,1,3,3,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,1,1,1,1,0,0,0,4,2,0.769999980926514,0
7003,"Zapotecs",70,"Mexico",2005,817762,0.0077,1,1,3,3,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,1,1,1,1,0,0,0,4,2,0.769999980926514,0
7003,"Zapotecs",70,"Mexico",2006,827361,0.0077,1,1,3,3,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,1,1,1,1,0,0,0,5,2,0.769999980926514,0
7004,"Other Indigenous Peoples",70,"Mexico",2004,13676235,0.1303,1,1,0,2,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,2,1,1,1,0,0,0,3,2,13.0299997329712,0
7004,"Other Indigenous Peoples",70,"Mexico",2005,13838238,0.1303,1,1,0,2,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,2,1,1,1,0,0,0,3,2,13.0299997329712,0
7004,"Other Indigenous Peoples",70,"Mexico",2006,14000673,0.1303,1,1,0,2,0,0,1,1,0,1,0,3,3,0,0,0,0,0,3,2,1,1,1,0,0,0,3,2,13.0299997329712,0
9002,"Indigenous Peoples",90,"Guatemala",2004,5134194,0.43,1,1,2,2,1,2,2,1,1,0,1,3,3,1,0,1,1,0,2,2,2,0,0,0,0,0,3,2,43,0
9002,"Indigenous Peoples",90,"Guatemala",2005,5238496,0.43,1,1,2,2,1,2,2,1,1,0,1,3,3,1,0,1,1,0,2,2,2,0,0,0,0,0,3,2,43,0
9002,"Indigenous Peoples",90,"Guatemala",2006,5355541,0.43,1,1,2,2,1,2,2,1,1,0,1,3,3,1,0,1,1,0,2,2,2,0,0,0,0,0,4,2,43,0
9101,"Black Karibs",91,"Honduras",2004,206020,0.0294,1,1,3,NA,1,2,3,2,0,NA,0,3,4,2,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2.94000005722046,2
9101,"Black Karibs",91,"Honduras",2005,210736,0.0294,1,1,3,NA,1,2,3,2,0,NA,0,3,4,2,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2.94000005722046,2
9101,"Black Karibs",91,"Honduras",2006,215399,0.0294,1,1,3,NA,1,2,3,2,0,NA,0,3,4,2,0,1,0,0,1,2,1,0,0,0,0,0,0,2,2.94000005722046,2
9102,"Indigenous Peoples",91,"Honduras",2004,683229,0.0975,1,1,2,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,9.75,0
9102,"Indigenous Peoples",91,"Honduras",2005,698870,0.0975,1,1,2,1,0,0,1,0,0,0,2,3,3,0,0,0,0,0,1,2,1,0,0,0,0,0,3,2,9.75,0
9102,"Indigenous Peoples",91,"Honduras",2006,714333,0.0975,1,1,2,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,2,1,0,0,0,0,0,3,2,9.75,0
9201,"Indigenous Peoples",92,"El Salvador",2004,255829,0.0388,0,0,0,1,0,0,1,1,0,1,0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3.88000011444092,0
9201,"Indigenous Peoples",92,"El Salvador",2005,260413,0.0388,0,0,0,1,0,0,1,1,0,1,0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3.88000011444092,0
9201,"Indigenous Peoples",92,"El Salvador",2006,265001,0.0388,0,0,0,1,0,0,1,1,0,1,0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3.88000011444092,0
9302,"Indigenous Peoples",93,"Nicaragua",2004,268174,0.05,1,0,3,1,1,3,2,1,0,0,0,1,1,0,1,1,0,0,3,2,1,0,0,0,0,0,3,2,5,0
9302,"Indigenous Peoples",93,"Nicaragua",2005,273459,0.05,1,0,3,1,1,3,2,1,0,0,0,1,1,0,1,1,1,0,3,2,1,0,0,0,0,0,1,2,5,0
9302,"Indigenous Peoples",93,"Nicaragua",2006,278729,0.05,1,0,3,1,1,3,2,1,0,0,0,1,1,0,1,1,1,0,3,2,1,0,0,0,0,0,3,2,5,0
9401,"Antillean Blacks",94,"Costa Rica",2004,118760,0.03,1,0,3,2,1,3,1,3,0,1,0,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,3,0
9401,"Antillean Blacks",94,"Costa Rica",2005,120563,0.03,1,0,3,2,1,3,1,3,0,1,0,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,3,0
9401,"Antillean Blacks",94,"Costa Rica",2006,122349,0.03,1,0,3,2,1,3,1,3,0,1,0,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,3,0
9501,"Blacks",95,"Panama",2004,434585,0.14,1,0,1,NA,0,0,1,3,0,0,0,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,14,1
9501,"Blacks",95,"Panama",2005,441704,0.14,1,0,1,NA,0,0,1,3,0,0,0,3,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,14,1
9501,"Blacks",95,"Panama",2006,448907,0.14,1,0,1,NA,0,0,1,3,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,14,1
9502,"Indigenous Peoples",95,"Panama",2004,237470,0.0765,1,1,2,1,1,2,2,1,0,0,0,3,3,1,1,1,0,1,3,1,0,0,0,0,0,0,0,2,7.65000009536743,0
9502,"Indigenous Peoples",95,"Panama",2005,241360,0.0765,1,1,2,1,1,2,2,1,0,0,0,3,3,1,1,1,0,1,3,1,0,0,0,0,0,0,0,2,7.65000009536743,0
9502,"Indigenous Peoples",95,"Panama",2006,245296,0.0765,1,1,2,1,1,2,2,1,0,0,0,3,3,1,1,1,0,1,3,1,0,0,0,0,0,0,2,2,7.65000009536743,0
9503,"Chinese",95,"Panama",2004,130375,0.042,1,1,1,5,0,0,1,3,0,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.19999980926514,1
